,user_id,movie_id,y_pred,gt
0,14348,592,2.7412655,3.0
1,195255,110,2.7218535,3.0
2,37405,527,2.7414541,5.0
3,112327,344,2.7241924,3.5
4,131714,329,2.7692015,2.0
5,231810,736,2.7194083,0.5
6,252988,86880,2.7089317,3.5
7,113996,318,2.750362,4.5
8,186630,4887,2.7127683,3.0
9,148276,50,2.7392676,3.5
10,153275,1214,2.769759,4.0
11,18435,592,2.741565,2.0
12,109314,1198,2.72646,4.0
13,269034,141,2.732793,3.5
14,237557,593,2.7361498,3.5
15,32773,4306,2.7086828,3.0
16,81074,1214,2.7644675,4.5
17,9788,344,2.7166777,1.0
18,80835,5952,2.7153244,3.0
19,242770,780,2.723458,3.5
20,152312,50,2.7395635,4.5
21,33263,4226,2.7532992,4.0
22,207659,4745,2.7353826,1.5
23,140443,3578,2.715445,4.0
24,14495,296,2.81788,5.0
25,97308,296,2.823949,4.5
26,251614,2028,2.746889,3.5
27,86545,6539,2.7220266,3.0
28,197920,5952,2.7239053,4.5
29,150021,527,2.7497075,5.0
30,64732,19,2.7224226,3.5
31,104045,318,2.7496328,5.0
32,240439,593,2.7363608,3.0
33,77701,344,2.721655,4.0
34,12441,4896,2.7143621,4.0
35,211722,1240,2.7281165,4.0
36,235,344,2.7159774,1.0
37,25066,110,2.7093806,4.0
38,122157,69844,2.69998,4.5
39,88895,2116,2.748099,3.5
40,54852,296,2.8208375,5.0
41,94351,592,2.747129,3.0
42,209607,7153,2.7239974,4.0
43,159931,592,2.751935,4.0
44,104074,592,2.7478414,3.0
45,7490,110,2.7080925,5.0
46,270769,344,2.7358043,3.0
47,153269,40815,2.711406,3.5
48,74875,4683,2.7133949,3.5
49,216982,1,2.7312026,4.0
50,105681,32,2.7682996,4.0
51,224612,109374,2.703987,4.5
52,223917,457,2.7246602,4.0
53,74275,5388,2.7198253,3.5
54,112327,32,2.7687867,5.0
55,39040,95,2.7078497,3.5
56,202854,318,2.7568743,1.5
57,8563,589,2.7109368,4.0
58,180619,316,2.7182848,3.5
59,144808,2116,2.7521968,3.0
60,158239,316,2.7166445,4.0
61,47888,47,2.725087,3.5
62,105060,4306,2.7139807,5.0
63,267030,32,2.7801247,4.0
64,30494,50,2.7306356,4.0
65,162603,1198,2.7303655,4.0
66,55283,288,2.7234762,5.0
67,125618,260,2.7383463,1.0
68,66018,552,2.7077627,3.5
69,235443,102445,2.6956136,5.0
70,142138,318,2.7524245,4.0
71,116969,47,2.7301497,4.0
72,42566,110,2.710663,3.0
73,234693,780,2.722866,2.0
74,71563,2959,2.7485945,5.0
75,214759,552,2.7186637,4.0
76,84859,110,2.7137628,3.0
77,186900,4896,2.727148,3.5
78,16803,3578,2.7063837,3.0
79,44564,52328,2.7488644,3.5
80,64879,260,2.7338948,4.0
81,266714,593,2.7382865,4.0
82,100930,1214,2.7659225,3.5
83,109249,4306,2.7142878,5.0
84,136967,260,2.739178,5.0
85,63276,2028,2.733086,3.0
86,256751,1214,2.7773426,4.0
87,62553,1,2.7198846,4.0
88,220297,1240,2.728745,5.0
89,1689,4226,2.7509851,3.0
90,44725,50,2.7316785,5.0
91,61018,4277,2.7467463,2.0
92,12667,4226,2.7517898,5.0
93,101248,344,2.7233806,4.5
94,92920,110,2.7143536,4.0
95,159676,33794,2.7108777,3.5
96,60312,316,2.7094676,3.0
97,61094,1198,2.722926,4.0
98,201709,110,2.7223265,4.0
99,110817,316,2.713169,3.0
100,125622,6365,2.7133849,2.5
101,226531,3578,2.7217543,5.0
102,132600,1198,2.7281666,3.5
103,94802,45722,2.7076426,3.5
104,168672,5952,2.721762,4.0
105,93382,4993,2.7179446,4.5
106,175546,102125,2.6942704,3.0
107,105309,318,2.7497253,4.5
108,160547,1377,2.7185478,3.0
109,18450,57274,2.7294617,3.5
110,103128,141,2.7206342,3.0
111,44609,527,2.741982,4.0
112,122125,33794,2.7081256,4.0
113,82756,527,2.744778,4.5
114,150010,2393,2.7684984,2.0
115,159516,33794,2.710866,4.5
116,97293,1214,2.765656,4.0
117,163575,4896,2.7254386,3.0
118,3437,141,2.713328,2.5
119,77813,4993,2.7168036,4.5
120,20591,736,2.7039282,3.5
121,261477,4226,2.7700245,5.0
122,66502,344,2.720834,3.0
123,182617,2565,2.7595193,2.5
124,35373,2959,2.7459424,4.5
125,178417,6539,2.7287595,4.5
126,44095,592,2.7434456,3.5
127,191353,4967,2.734015,3.5
128,148585,592,2.7511036,4.0
129,244104,260,2.7470298,5.0
130,168808,780,2.7180374,1.5
131,178121,344,2.7290144,2.0
132,135835,54001,2.7056525,4.0
133,257881,2565,2.7650354,3.0
134,83355,59315,2.6969366,2.5
135,37887,457,2.7110264,3.5
136,134670,4993,2.7209704,5.0
137,201538,344,2.7307305,3.0
138,145080,45722,2.7113273,2.0
139,19690,1293,2.735091,5.0
140,52985,2028,2.7323318,5.0
141,265544,7153,2.728097,5.0
142,203950,780,2.720613,1.0
143,15070,344,2.7170646,2.5
144,2490,95,2.705171,3.0
145,84030,5816,2.715753,3.0
146,240940,318,2.7596655,3.5
147,9040,19,2.718341,4.0
148,93067,2959,2.7501707,4.0
149,268875,2393,2.7772098,4.5
150,268783,102445,2.6980572,4.0
151,225793,5388,2.7309299,2.0
152,174414,4896,2.726233,2.5
153,209746,2393,2.7728763,2.0
154,56556,337,2.7612832,4.0
155,98415,105037,2.6930552,1.0
156,39750,50,2.731314,4.0
157,113481,552,2.7112412,3.0
158,81752,592,2.7462056,4.5
159,47273,592,2.7436786,4.0
160,149212,32,2.77149,4.0
161,53335,296,2.8207264,3.5
162,182880,1214,2.7719285,5.0
163,130348,1214,2.7680786,3.0
164,182063,5952,2.7227433,5.0
